geoid,name,median_income,median_age,total_pop
94533,ZCTA5 94533,73042,33.8,75909
94061,ZCTA5 94061,112609,37,39023
91945,ZCTA5 91945,64027,35.4,27236
91377,ZCTA5 91377,132578,43.8,13853
91403,ZCTA5 91403,104802,39,25156
91411,ZCTA5 91411,58605,35.2,26111
91506,ZCTA5 91506,81597,42.9,18591
91752,ZCTA5 91752,85296,34.2,35694
91754,ZCTA5 91754,63909,43,33636
91763,ZCTA5 91763,62386,32.5,38863
91765,ZCTA5 91765,100480,42.8,46593
91709,ZCTA5 91709,106347,38,80701
91731,ZCTA5 91731,42293,34.8,30222
91733,ZCTA5 91733,50691,34.7,45365
91737,ZCTA5 91737,106603,40.3,25154
91741,ZCTA5 91741,110430,41.5,26794
91745,ZCTA5 91745,85975,42.9,55202
91768,ZCTA5 91768,56002,29.2,35191
91780,ZCTA5 91780,75672,42.7,35133
91792,ZCTA5 91792,82954,38.3,29619
91917,ZCTA5 91917,73214,36.8,986
91931,ZCTA5 91931,NA,36.5,613
91325,ZCTA5 91325,71400,36.9,34575
91326,ZCTA5 91326,117590,46.4,36339
91345,ZCTA5 91345,77273,37.8,19145
91356,ZCTA5 91356,76929,43.7,29822
91402,ZCTA5 91402,45796,33.7,72059
91436,ZCTA5 91436,174085,46.7,15292
91501,ZCTA5 91501,67817,40.5,20511
91605,ZCTA5 91605,50623,34.8,53113
91723,ZCTA5 91723,64422,36.6,18521
91739,ZCTA5 91739,112790,35.1,39875
91740,ZCTA5 91740,85590,40.6,25877
91744,ZCTA5 91744,71243,34.7,85421
91746,ZCTA5 91746,70825,35.9,29709
91750,ZCTA5 91750,89360,44.9,34129
91759,ZCTA5 91759,71042,52.4,307
91762,ZCTA5 91762,60293,32.6,61718
94062,ZCTA5 94062,178480,45,28423
94080,ZCTA5 94080,105600,40.3,67600
94114,ZCTA5 94114,162193,39.2,34918
94402,ZCTA5 94402,169086,41.1,25703
94519,ZCTA5 94519,96540,38,20041
94563,ZCTA5 94563,222930,48.7,19644
94520,ZCTA5 94520,60652,34.8,38753
